,directory_name,directory_path,file_name,original_size,small_path,medium_path,big_path,small_size,medium_size,big_size,small_dpi,medium_dpi,big_dpi
0,lotpolishair,tickets/lotpolishair,lotpolishairTicket.jpeg,medium,tickets/lotpolishair/im_small/lotpolishairTicket.jpeg,tickets/lotpolishair/im_medium/lotpolishairTicket.jpeg,tickets/lotpolishair/im_big/lotpolishairTicket.jpeg,"(164, 604)","(564, 1004)","(564, 1004)","(72, 72)","(72, 72)","(72, 72)"
1,lotpolishair,tickets/lotpolishair,lotairTicket.jpeg,medium,tickets/lotpolishair/im_small/lotairTicket.jpeg,tickets/lotpolishair/im_medium/lotairTicket.jpeg,tickets/lotpolishair/im_big/lotairTicket.jpeg,"(364, 804)","(253, 450)","(764, 1204)","(1, 1)","(1, 1)","(1, 1)"
2,aegeanair,tickets/aegeanair,aegeanTicket.jpeg,medium,tickets/aegeanair/im_small/aegeanTicket.jpeg,tickets/aegeanair/im_medium/aegeanTicket.jpeg,tickets/aegeanair/im_big/aegeanTicket.jpeg,"(53, 250)","(787, 1111)","(453, 650)","(96, 96)","(96, 96)","(96, 96)"
3,aegeanair,tickets/aegeanair,aegeanairTicket.jpeg,medium,tickets/aegeanair/im_small/aegeanairTicket.jpeg,tickets/aegeanair/im_medium/aegeanairTicket.jpeg,tickets/aegeanair/im_big/aegeanairTicket.jpeg,"(587, 911)","(548, 343)","(987, 1311)","(96, 96)","(96, 96)","(96, 96)"
4,airfrance,tickets/airfrance,airfranceTicket copy.jpeg,medium,tickets/airfrance/im_small/airfranceTicket copy.jpeg,tickets/airfrance/im_medium/airfranceTicket copy.jpeg,tickets/airfrance/im_big/airfranceTicket copy.jpeg,"(348, 143)","(563, 311)","(748, 543)","(72, 72)","(72, 72)","(72, 72)"
5,airfrance,tickets/airfrance,airfranceTicket2 copy.jpeg,medium,tickets/airfrance/im_small/airfranceTicket2 copy.jpeg,tickets/airfrance/im_medium/airfranceTicket2 copy.jpeg,tickets/airfrance/im_big/airfranceTicket2 copy.jpeg,"(363, 111)","(564, 1002)","(763, 511)","(72, 72)","(72, 72)","(72, 72)"
6,airfrance,tickets/airfrance,airfranceticket2.jpeg,medium,tickets/airfrance/im_small/airfranceticket2.jpeg,tickets/airfrance/im_medium/airfranceticket2.jpeg,tickets/airfrance/im_big/airfranceticket2.jpeg,"(364, 802)","(500, 772)","(764, 1202)","(72, 72)","(72, 72)","(72, 72)"
7,airfrance,tickets/airfrance,airfranceTicket.jpeg,medium,tickets/airfrance/im_small/airfranceTicket.jpeg,tickets/airfrance/im_medium/airfranceTicket.jpeg,tickets/airfrance/im_big/airfranceTicket.jpeg,"(300, 572)","(564, 1001)","(700, 972)","(72, 72)","(72, 72)","(72, 72)"
8,easyjetair,tickets/easyjetair,easyjetTicket.png,medium,tickets/easyjetair/im_small/easyjetTicket.png,tickets/easyjetair/im_medium/easyjetTicket.png,tickets/easyjetair/im_big/easyjetTicket.png,"(364, 801)","(1882, 1562)","(764, 1201)","(144, 144)","(144, 144)","(144, 144)"
9,easyjetair,tickets/easyjetair,easyjetTicket.jpg,medium,tickets/easyjetair/im_small/easyjetTicket.jpg,tickets/easyjetair/im_medium/easyjetTicket.jpg,tickets/easyjetair/im_big/easyjetTicket.jpg,"(1682, 1362)","(1882, 1562)","(2082, 1762)","(144, 144)","(144, 144)","(144, 144)"
